resource_id,language_id,english_name,translation
121,8,Sea Route 40,
122,8,Sea Route 41,
123,8,Route 42,
124,8,Route 43,
125,8,Route 44,
126,8,Route 45,
127,8,Route 46,
128,8,Route 47,
129,8,Route 48,
130,8,Route 5,
131,8,Route 6,
132,8,Route 7,
133,8,Route 8,
134,8,Route 9,
135,8,Ruins of Alph,
136,8,Seafoam Islands,
137,8,Slowpoke Well,
138,8,Sprout Tower,
139,8,Bell Tower,
140,8,Tohjo Falls,
141,8,Union Cave,
147,8,Cerulean Cave,
148,8,Unknown; all Poliwag,
149,8,Unknown; all Rattata,
150,8,Unknown; all bugs,
151,8,Vermilion City,
152,8,Victory Road,
153,8,Violet City,
154,8,Viridian City,
155,8,Viridian Forest,
156,8,Whirl Islands,
157,8,Route 23,
158,8,Power Plant,
159,8,Victory Road,
160,8,Pokémon Tower,
161,8,Pokémon Mansion,
162,8,Safari Zone,
163,8,Sandgem Town,
164,8,Floaroma Town,
165,8,Solaceon Town,
167,8,Jubilife City,
168,8,Oreburgh City,
169,8,Hearthome City,
170,8,Veilstone City,
171,8,Snowpoint City,
172,8,Spear Pillar,
173,8,Pal Park,
174,8,Amity Square,
175,8,Floaroma Meadow,
177,8,Fullmoon Island,
178,8,Sendoff Spring,
179,8,Flower Paradise,
180,8,Maniac Tunnel,
181,8,Galactic HQ,
182,8,Verity Lakefront,
183,8,Newmoon Island,
184,8,Battle Tower,
185,8,Fight Area,
186,8,Survival Area,
187,8,Seabreak Path,
188,8,Hall of Origin,
189,8,Hall of Origin,
190,8,Verity Cavern,
191,8,Valor Cavern,
192,8,Acuity Cavern,
193,8,Jubilife TV,
194,8,Pokétch Co.,
195,8,GTS,
196,8,Trainers’ School,
197,8,Mining Museum,
198,8,Flower Shop,
199,8,Cycle Shop,
200,8,Contest Hall,
201,8,Poffin House,
202,8,Foreign Building,
203,8,Pokémon Day Care,
204,8,Veilstone Store,
205,8,Game Corner,
206,8,Canalave Library,
207,8,Vista Lighthouse,
208,8,Sunyshore Market,
209,8,Footstep House,
210,8,Café,
211,8,Grand Lake,
212,8,Restaurant,
213,8,Battle Park,
214,8,Battle Frontier,
215,8,Battle Factory,
216,8,Battle Castle,
217,8,Battle Arcade,
218,8,Battle Hall,
219,8,Distortion World,
220,8,Global Terminal,
221,8,Villa,
222,8,Battleground,
223,8,ROTOM's Room,
224,8,T.G. Eterna Bldg,
225,8,Iron Ruins,
226,8,Iceberg Ruins,
227,8,Rock Peak Ruins,
228,8,Azalea Town,
229,8,Goldenrod City,
230,8,Mahogany Town,
231,8,Pewter City,
232,8,Lavender Town,
233,8,Indigo Plateau,
234,8,Saffron City,
236,8,Lighthouse,
237,8,Team Rocket HQ,
238,8,Goldenrod Tunnel,
239,8,Mt. Silver Cave,
241,8,Pokéathlon Dome,
242,8,S.S. Aqua,
243,8,Safari Zone Gate,
244,8,Cliff Cave,
245,8,Frontier Access,
246,8,Bellchime Trail,
247,8,Sinjoh Ruins,
248,8,Embedded Tower,
249,8,Pokéwalker,
250,8,Cliff Edge Gate,
252,8,Radio Tower,
253,8,Day-Care Couple,
254,8,Link trade (arrive),
255,8,Link trade (met),
256,8,Kanto,
257,8,Johto,
258,8,Hoenn,
259,8,Sinnoh,
260,8,Distant land,
261,8,Traveling Man,
262,8,Riley,
263,8,Cynthia,
264,8,Mystery Zone,
265,8,Lovely place,
266,8,Pokémon Ranger,
267,8,Faraway place,
268,8,Pokémon Movie,
269,8,Pokémon Movie 06,
270,8,Pokémon Movie 07,
271,8,Pokémon Movie 08,
272,8,Pokémon Movie 09,
273,8,Pokémon Movie 10,
274,8,Pokémon Movie 11,
275,8,Pokémon Movie 12,
276,8,Pokémon Movie 13,
277,8,Pokémon Movie 14,
278,8,Pokémon Movie 15,
279,8,Pokémon Movie 16,
280,8,Pokémon Cartoon,
281,8,Space World,
282,8,Space World 06,
283,8,Space World 07,
284,8,Space World 08,
285,8,Space World 09,
286,8,Space World 10,
287,8,Space World 11,
288,8,Space World 12,
289,8,Space World 13,
290,8,Space World 14,
291,8,Space World 15,
292,8,Space World 16,
293,8,Pokémon Festa,
294,8,Pokémon Festa 06,
295,8,Pokémon Festa 07,
296,8,Pokémon Festa 08,
297,8,Pokémon Festa 09,
298,8,Pokémon Festa 10,
299,8,Pokémon Festa 11,
300,8,Pokémon Festa 12,
301,8,Pokémon Festa 13,
302,8,Pokémon Festa 14,
303,8,Pokémon Festa 15,
304,8,Pokémon Festa 16,
305,8,POKéPARK,
306,8,POKéPARK 06,
307,8,POKéPARK 07,
308,8,POKéPARK 08,
309,8,POKéPARK 09,
310,8,POKéPARK 10,
311,8,POKéPARK 11,
312,8,POKéPARK 12,
313,8,POKéPARK 13,
314,8,POKéPARK 14,
315,8,POKéPARK 15,
316,8,POKéPARK 16,
317,8,Pokémon Center,
318,8,PC Tokyo,
319,8,PC Osaka,
320,8,PC Fukuoka,
321,8,PC Nagoya,
322,8,PC Sapporo,
323,8,PC Yokohama,
324,8,Nintendo World,
325,8,Pokémon Event,
326,8,Pokémon Event 06,
327,8,Pokémon Event 07,
328,8,Pokémon Event 08,
329,8,Pokémon Event 09,
330,8,Pokémon Event 10,
331,8,Pokémon Event 11,
332,8,Pokémon Event 12,
333,8,Pokémon Event 13,
334,8,Pokémon Event 14,
335,8,Pokémon Event 15,
336,8,Pokémon Event 16,
337,8,Wi-Fi Event,
338,8,Wi-Fi Gift,
339,8,Pokémon Fan Club,
340,8,Event Site,
341,8,Concert Event,
342,8,Mr. Pokémon,
343,8,Primo,
344,8,Mystery Zone,
345,8,Faraway place,
346,8,Nuvema Town,
347,8,Accumula Town,
348,8,Striaton City,
349,8,Nacrene City,
350,8,Castelia City,
351,8,Nimbasa City,
352,8,Driftveil City,
353,8,Mistralton City,
354,8,Icirrus City,
355,8,Opelucid City,
356,8,Route 1,
357,8,Route 2,
358,8,Route 3,
359,8,Route 4,
360,8,Route 5,
361,8,Route 6,
362,8,Route 7,
363,8,Route 8,
364,8,Route 9,
365,8,Route 10,
366,8,Route 11,
367,8,Route 12,
368,8,Route 13,
369,8,Route 14,
370,8,Route 15,
371,8,Route 16,
372,8,Route 17,
373,8,Route 18,
374,8,Dreamyard,
375,8,Pinwheel Forest,
376,8,Desert Resort,
377,8,Relic Castle,
378,8,Cold Storage,
379,8,Chargestone Cave,
380,8,Twist Mountain,
381,8,Dragonspiral Tower,
382,8,Victory Road,
383,8,Lacunosa Town,
384,8,Undella Town,
385,8,Anville Town,
386,8,Pokémon League,
387,8,N's Castle,
388,8,Royal Unova,
389,8,Gear Station,
390,8,Battle Subway,
391,8,Musical Theater,
392,8,Black City,
393,8,White Forest,
394,8,Unity Tower,
395,8,Wellspring Cave,
396,8,Mistralton Cave,
397,8,Rumination Field,
398,8,Celestial Tower,
399,8,Moor of Icirrus,
400,8,Shopping Mall,
401,8,Challenger's Cave,
402,8,Poké Transfer Lab,
403,8,Giant Chasm,
404,8,Liberty Garden,
405,8,P2 Laboratory,
406,8,Skyarrow Bridge,
407,8,Driftveil Drawbridge,
408,8,Tubeline Bridge,
409,8,Village Bridge,
410,8,Marvelous Bridge,
411,8,Entralink,
412,8,Abundant Shrine,
413,8,Undella Bay,
414,8,Lostlorn Forest,
415,8,Trial Chamber,
416,8,Guidance Chamber,
417,8,Entree Forest,
418,8,Accumula Gate,
419,8,Undella Gate,
420,8,Nacrene Gate,
421,8,Castelia Gate,
422,8,Nimbasa Gate,
423,8,Opelucid Gate,
424,8,Black Gate,
425,8,White Gate,
426,8,Bridge Gate,
427,8,Route Gate,
428,8,Abyssal Ruins,
447,8,Abandoned Ship,
486,8,Magma Hideout,
487,8,Mirage Tower,
488,8,Desert Underpass,
489,8,Artisan Cave,
490,8,Altering Cave,
491,8,Monean Chamber,
492,8,Liptoo Chamber,
493,8,Weepth Chamber,
494,8,Dilford Chamber,
495,8,Scufib Chamber,
496,8,Rixy Chamber,
497,8,Viapos Chamber,
498,8,S.S. Anne,
500,8,Mt. Ember,
501,8,Berry Forest,
502,8,Icefall Cave,
503,8,Pattern Bush,
504,8,Lost Cave,
505,8,Kindle Road,
506,8,Treasure Beach,
507,8,Cape Brink,
508,8,Bond Bridge,
509,8,Three Isle Port,
510,8,Resort Gorgeous,
511,8,Water Labyrinth,
512,8,Five Isle Meadow,
513,8,Memorial Pillar,
514,8,Outcast Island,
515,8,Green Path,
516,8,Water Path,
517,8,Ruin Valley,
518,8,Trainer Tower,
519,8,Canyon Entrance,
520,8,Sevault Canyon,
521,8,Tanoby Ruins,
526,8,One Island,
527,8,Four Island,
528,8,Five Island,
529,8,Altering Cave,
531,8,Aspertia City,
532,8,Virbank City,
533,8,Humilau City,
534,8,PokéStar Studios,
535,8,Join Avenue,
536,8,Floccesy Town,
537,8,Lentimas Town,
538,8,Route 19,
539,8,Route 20,
540,8,Route 21,
541,8,Route 22,
542,8,Route 23,
543,8,Castelia Sewers,
544,8,Floccesy Ranch,
545,8,Virbank Complex,
546,8,Reversal Mountain,
547,8,Strange House,
548,8,Victory Road,
549,8,Plasma Frigate,
550,8,Relic Passage,
551,8,Clay Tunnel,
552,8,White Treehollow,
553,8,Black Tower,
554,8,Seaside Cave,
555,8,Cave of Being,
556,8,Hidden Grotto,
557,8,Marine Tube,
558,8,Virbank Gate,
559,8,Aspertia Gate,
560,8,Nature Sanctuary,
561,8,Medal Secretariat,
562,8,Underground Ruins,
563,8,Rocky Mountain Room,
564,8,Glacier Room,
565,8,Iron Room,
566,8,Pledge Grove,
575,8,Underwater,
586,8,Battle Tower,
799,8,Roaming Kanto,
800,8,Roaming Johto,
801,8,Roaming Hoenn,
802,8,Roaming Sinnoh,
803,8,Terra Cave,
804,8,Marine Cave,
805,8,Two Island,
806,8,Three Island,
807,8,Three Isle Path,
808,8,Six Island,
809,8,Seven Island,
810,8,Birth Island,
811,8,Navel Rock,
812,8,Faraway Island,
813,8,Hoenn Battle Frontier,
814,8,Johto Safari Zone,
815,8,Cabo Poco,
816,8,Los Platos,
817,8,Mesagoza,
818,8,Cortondo,
819,8,Alfornada,
820,8,Pokémon League,
821,8,Artazon,
822,8,Levincia,
823,8,Zapapico,
824,8,Cascarrafa,
825,8,Porto Marinada,
826,8,Medali,
827,8,Montenevera,
828,8,South Province (Area One),
829,8,South Province (Area Two),
830,8,South Province (Area Three),
831,8,South Province (Area Four),
832,8,South Province (Area Five),
833,8,South Province (Area Six),
834,8,South Paldean Sea,
835,8,Poco Path,
836,8,Inlet Grotto,
837,8,Naranja Academy,
838,8,Alfornada Cavern,
839,8,Grasswither Shrine,
840,8,East Province (Area One),
841,8,East Province (Area Two),
842,8,East Province (Area Three),
843,8,East Paldean Sea,
844,8,Tagtree Thicket,
845,8,Schedar Squad's Base,
846,8,Navi Squad's Base,
847,8,West Province (Area One),
848,8,West Province (Area Two),
849,8,West Province (Area Three),
850,8,Asado Desert,
851,8,West Paldean Sea,
852,8,Segin Squad's Base,
853,8,Icerend Shrine,
854,8,North Province (Area One),
855,8,North Province (Area Two),
856,8,North Province (Area Three),
857,8,Casseroya Lake,
858,8,Dalizapa Passage,
859,8,Glaseado Mountain,
860,8,Socarrat Trail,
861,8,Groundblight Shrine,
862,8,Firescourge Shrine,
863,8,North Paldean Sea,
864,8,Ruchbah Squad's Base,
865,8,Caph Squad's Base,
866,8,Area Zero,
867,8,Zero Lab,
868,8,Route 1,
869,8,Route 2,
870,8,Route 3,
871,8,Route 4,
872,8,Route 5,
873,8,Route 6,
874,8,Route 7,
875,8,Route 8,
876,8,Route 9,
877,8,Route 10,
878,8,Axew's Eye,
879,8,Ballimere Lake,
880,8,Ballonlea,
881,8,Battle Tower,
882,8,Brawlers' Cave,
883,8,Bridge Field,
884,8,Challenge Beach,
885,8,Challenge Road,
886,8,Circhester,
887,8,Courageous Cavern,
888,8,Crown Shrine,
889,8,Dappled Grove,
890,8,Dusty Bowl,
891,8,Dyna Tree Hill,
892,8,East Lake Axewell,
893,8,Fields of Honor,
894,8,Forest of Focus,
895,8,Freezington,
896,8,Frigid Sea,
897,8,Frostpoint Field,
898,8,Galar Mine,
899,8,Galar Mine No. 2,
900,8,Giant's Bed,
901,8,Giant's Foot,
902,8,Giant's Mirror,
903,8,Giant's Seat,
904,8,Glimwood Tangle,
905,8,Hammerlocke,
906,8,Hammerlocke Hills,
907,8,Honeycalm Island,
908,8,Honeycalm Sea,
909,8,Hulbury,
910,8,Iceberg Ruins,
911,8,Insular Sea,
912,8,Iron Ruins,
913,8,Lake of Outrage,
914,8,Lakeside Cave,
915,8,Loop Lagoon,
916,8,Master Dojo,
917,8,Max Lair,
918,8,Motostoke,
919,8,Motostoke Outskirts,
920,8,Motostoke Riverbank,
921,8,North Lake Miloch,
922,8,Old Cemetery,
923,8,Path to the Peak,
924,8,Postwick,
925,8,Potbottom Desert,
926,8,Roaring-Sea Caves,
927,8,Rock Peak Ruins,
928,8,Rolling Fields,
929,8,Slippery Slope,
930,8,Slumbering Weald,
931,8,Snowslide Slope,
932,8,Soothing Wetlands,
933,8,South Lake Miloch,
934,8,Spikemuth,
935,8,Split-Decision Ruins,
936,8,Route 8,
937,8,Stepping-Stone Sea,
938,8,Stony Wilderness,
939,8,Stow-on-Side,
940,8,Three-Point Pass,
941,8,Tower of Darkness,
942,8,Tower of Waters,
943,8,Training Lowlands,
944,8,Tunnel to the Top,
945,8,Turffield,
946,8,Warm-Up Tunnel,
947,8,Watchtower Ruins,
948,8,Wedgehurst,
949,8,West Lake Axewell,
950,8,Workout Sea,
951,8,Wyndon,
952,8,Aipom Hill,
953,8,Ancient Quarry,
954,8,Arena's Approach,
955,8,Aspiration Hill,
956,8,Avalanche Slopes,
957,8,Avalugg's Legacy,
958,8,Bathers' Lagoon,
959,8,Bolderoll Ravine,
960,8,Bolderoll Slope,
961,8,Bonechill Wastes,
962,8,Brava Arena,
963,8,Castaway Shore,
964,8,Celestica Ruins,
965,8,Celestica Trail,
966,8,Clamberclaw Cliffs,
967,8,Cloudcap Pass,
968,8,Cloudpool Ridge,
969,8,Coastlands Base Camp,
970,8,Cottonsedge Prairie,
971,8,Crossing Slope,
972,8,Deadwood Haunt,
973,8,Deertrack Heights,
974,8,Deertrack Path,
975,8,Diamond Heath,
976,8,Diamond Settlement,
977,8,Droning Meadow,
978,8,Fabled Spring,
979,8,Firespit Island,
980,8,Floaro Gardens,
981,8,Gapejaw Bog,
982,8,Ginkgo Landing,
983,8,Glacier Terrace,
984,8,Golden Lowlands,
985,8,Grandtree Arena,
986,8,Grueling Grove,
987,8,Heart's Crag,
988,8,Heavenward Lookout,
989,8,Heights Base Camp,
990,8,Hideaway Bay,
991,8,Holm of Trials,
992,8,Horseshoe Plains,
993,8,Ice Column Chamber,
994,8,Icebound Falls,
995,8,Icepeak Arena,
996,8,Icepeak Cavern,
997,8,Islespy Shore,
998,8,Jubilife Village,
999,8,Lake Acuity,
1000,8,Lake Valor,
1001,8,Lake Verity,
1002,8,Lonely Spring,
1003,8,Lunker's Lair,
1004,8,Molten Arena,
1005,8,Moonview Arena,
1006,8,Nature's Pantry,
1007,8,Obsidian Falls,
1008,8,Oreburrow Tunnel,
1009,8,Pearl Settlement,
1010,8,Primeval Grotto,
1011,8,Ramanas Island,
1012,8,Sacred Plaza,
1013,8,Sand's Reach,
1014,8,Sandgem Flats,
1015,8,Scarlet Bog,
1016,8,Seagrass Haven,
1017,8,Seaside Hollow,
1018,8,Shrouded Ruins,
1019,8,Sludge Mound,
1020,8,Snowfall Hot Spring,
1021,8,Snowpoint Temple,
1022,8,Solaceon Ruins,
1023,8,Sonorous Path,
1024,8,Space-time distortion,
1025,8,Spring Path,
1026,8,Stonetooth Rows,
1027,8,Temple of Sinnoh,
1028,8,The Heartwood,
1029,8,Tidewater Dam,
1030,8,Tombolo Walk,
1031,8,Tranquility Cove,
1032,8,Turnback Cave,
1033,8,Ursa's Ring,
1034,8,Veilstone Cape,
1035,8,Wayward Cave,
1036,8,Wayward Wood,
1037,8,Whiteout Valley,
1038,8,Windbreak Stand,
1039,8,Windswept Run,
1040,8,Worn Bridge,
1041,8,Giant's Cap,
1042,8,Hau'oli City,
1043,8,Verdant Cavern,
1044,8,Royal Avenue,
1045,8,Malie City,
1046,8,Dividing Peak Tunnel,
1047,8,Heahea Beach,
1048,8,Sandy Cave,
1049,8,Ula'ula Beach,
1050,8,Ultra Megalopolis,
1051,8,Ultra Space Wilds,
1052,8,Poké Pelago,
1053,8,Team Rocket's Castle,
1054,8,Unova (Roaming),
1055,8,Mossdeep Space Center,
1056,8,Kalos (Roaming),
1057,8,Uva Academy,
1058,8,Apple Hills,
1059,8,Chilling Waterhead,
1060,8,Crystal Pool,
1061,8,Dreaded Den,
1062,8,Fellhorn Gorge,
1063,8,Infernal Pass,
1064,8,Kitakami Hall,
1065,8,Kitakami Road,
1066,8,Kitakami Wilds,
1067,8,Loyalty Plaza,
1068,8,Mossfell Confluence,
1069,8,Mossui Town,
1070,8,Oni Mountain,
1071,8,Oni's Maw,
1072,8,Paradise Barrens,
1073,8,Reveler's Road,
1074,8,Timeless Woods,
1075,8,Wistful Fields,
1076,8,Canyon Biome,
1077,8,Canyon Plaza,
1078,8,Central Plaza,
1079,8,Chargestone Cavern,
1080,8,Coastal Biome,
1081,8,Coastal Plaza,
1082,8,League Club Room,
1083,8,Polar Biome,
1084,8,Polar Plaza,
1085,8,Savanna Biome,
1086,8,Savanna Plaza,
1087,8,Torchlit Labyrinth,
1088,8,hoenn-pokemart,
1089,8,hoenn-pokecenter,
1090,8,kanto-pokemart,
1091,8,kanto-pokecenter,
1092,8,sinnoh-pokemart,
1093,8,johto-pokemart,
1094,8,mirage-island,
